"Reaction"	"Protein"	"Gene"	"Stoichiometry"	"Regulatory Logic""
	"arcA"			"active IF not (O2xt)"
	"cra (fruR)"			"active IF not (surplus FDP or F6P)"
	"crp"
	"dcuR"			"active IF DcuS"
	"dcuS"			"active IF (SUCCxt)"
	"fadR"			"active IF (GLCxt) or not (ACxt)"
	"fnr"			"active IF not (O2xt)"
	"galR"			"active IF not (GLAC)"
	"galS"			"active IF not (GLAC)"
	"glpR"			"active IF not (GLxt)"
	"iclR"			"active IF not FadR"
	"lacI"			"active IF not (LCTSxt)"
	"mlc"			"active IF not (GLCxt)"
	"pdhR"			"active IF not (surplus PYR)"
	"rbsR"			"active IF not (RIBxt)"
	"rpiR"			"active IF not (RIBxt)"
